"search_index","sort","result_count","return_count","bias_dimension","bias_result_count"
"677306","relevance","214381","200","Racial","5"
"677306","relevance","214381","200","Geographic","0"
"677306","relevance","214381","200","Women","3"
"677306","relevance","214381","200","Gender","1"
"677306","date_desc","214381","200","Racial","1"
"677306","date_desc","214381","200","Geographic","0"
"677306","date_desc","214381","200","Women","3"
"677306","date_desc","214381","200","Gender","6"
"1268794","relevance","105","105","Racial","2"
"1268794","relevance","105","105","Geographic","0"
"1268794","relevance","105","105","Women","7"
"1268794","relevance","105","105","Gender","5"
"1268794","date_desc","105","105","Racial","2"
"1268794","date_desc","105","105","Geographic","0"
"1268794","date_desc","105","105","Women","7"
"1268794","date_desc","105","105","Gender","5"
"632353","relevance","3","3","Racial","0"
"632353","relevance","3","3","Geographic","0"
"632353","relevance","3","3","Women","1"
"632353","relevance","3","3","Gender","0"
"632353","date_desc","3","3","Racial","0"
"632353","date_desc","3","3","Geographic","0"
"632353","date_desc","3","3","Women","1"
"632353","date_desc","3","3","Gender","0"
"845696","relevance","81","81","Racial","10"
"845696","relevance","81","81","Geographic","0"
"845696","relevance","81","81","Women","6"
"845696","relevance","81","81","Gender","15"
"845696","date_desc","81","81","Racial","10"
"845696","date_desc","81","81","Geographic","0"
"845696","date_desc","81","81","Women","6"
"845696","date_desc","81","81","Gender","15"
"361574","relevance","32","32","Racial","0"
"361574","relevance","32","32","Geographic","0"
"361574","relevance","32","32","Women","0"
"361574","relevance","32","32","Gender","0"
"361574","date_desc","32","32","Racial","0"
"361574","date_desc","32","32","Geographic","0"
"361574","date_desc","32","32","Women","0"
"361574","date_desc","32","32","Gender","0"
"1298336","relevance","248","200","Racial","4"
"1298336","relevance","248","200","Geographic","0"
"1298336","relevance","248","200","Women","10"
"1298336","relevance","248","200","Gender","15"
"1298336","date_desc","248","200","Racial","4"
"1298336","date_desc","248","200","Geographic","0"
"1298336","date_desc","248","200","Women","10"
"1298336","date_desc","248","200","Gender","20"
"141465","relevance","119","119","Racial","0"
"141465","relevance","119","119","Geographic","0"
"141465","relevance","119","119","Women","7"
"141465","relevance","119","119","Gender","26"
"141465","date_desc","119","119","Racial","0"
"141465","date_desc","119","119","Geographic","0"
"141465","date_desc","119","119","Women","7"
"141465","date_desc","119","119","Gender","26"
"88520","relevance","15","15","Racial","0"
"88520","relevance","15","15","Geographic","0"
"88520","relevance","15","15","Women","1"
"88520","relevance","15","15","Gender","0"
"88520","date_desc","15","15","Racial","0"
"88520","date_desc","15","15","Geographic","0"
"88520","date_desc","15","15","Women","1"
"88520","date_desc","15","15","Gender","0"
"996015","relevance","899736","200","Racial","0"
"996015","relevance","899736","200","Geographic","0"
"996015","relevance","899736","200","Women","5"
"996015","relevance","899736","200","Gender","3"
"996015","date_desc","899736","200","Racial","0"
"996015","date_desc","899736","200","Geographic","0"
"996015","date_desc","899736","200","Women","6"
"996015","date_desc","899736","200","Gender","14"
"543544","relevance","31","31","Racial","1"
"543544","relevance","31","31","Geographic","0"
"543544","relevance","31","31","Women","0"
"543544","relevance","31","31","Gender","0"
"543544","date_desc","31","31","Racial","1"
"543544","date_desc","31","31","Geographic","0"
"543544","date_desc","31","31","Women","0"
"543544","date_desc","31","31","Gender","0"
"1049588","relevance","10667","200","Racial","0"
"1049588","relevance","10667","200","Geographic","0"
"1049588","relevance","10667","200","Women","2"
"1049588","relevance","10667","200","Gender","0"
"1049588","date_desc","10667","200","Racial","4"
"1049588","date_desc","10667","200","Geographic","0"
"1049588","date_desc","10667","200","Women","8"
"1049588","date_desc","10667","200","Gender","1"
"98211","relevance","173","173","Racial","0"
"98211","relevance","173","173","Geographic","0"
"98211","relevance","173","173","Women","11"
"98211","relevance","173","173","Gender","7"
"98211","date_desc","173","173","Racial","0"
"98211","date_desc","173","173","Geographic","0"
